Tipo,Num,nGer,nPop,nElite,tM,dim,tempo,avaliacao,min,erro
ca,1,10000,20,2,0.1,2,"42,2232778072357","-78,33232137","-78,33198","0,0003413698039"
ca,2,10000,20,2,0.2,2,"42,2233719825744","-78,33209303","-78,33198","0,0001130301306"
ca,3,10000,20,2,0.3,2,"43,5950665473938","-78,33232932","-78,33198","0,0003493194191"
ca,4,10000,20,2,0.4,2,"43,6413433551788","-78,33231959","-78,33198","0,000339585274"
ca,5,10000,20,2,0.5,2,"42,6914269924163","-78,33227575","-78,33198","0,0002957509815"
ca,6,10000,20,1,0.1,2,"43,3281595706939","-78,33206446","-78,33198","0,0000844607499"
ca,7,10000,20,2,0.1,2,"43,0346627235412","-78,33219178","-78,33198","0,000211782136"
ca,8,10000,20,3,0.1,2,"42,3196835517883","-78,33173027","-78,33198","0,0002497282734"
ca,9,10000,20,4,0.1,2,"41,4137847423553","-78,3320094","-78,33198","0,0000293963739"
ca,10,10000,20,5,0.1,2,"41,0234777927398","-78,33180973","-78,33198","0,0001702709599"
ca,11,10000,20,2,0.1,2,"42,4441390037536","-78,33231094","-78,33198","0,0003309401432"
ca,12,10000,40,2,0.1,2,"101,8586483001700","-78,33229414","-78,33198","0,0003141360963"
ca,13,10000,60,2,0.1,2,"175,0338447093960","-78,33231539","-78,33198","0,0003353940745"
ca,14,50000,20,2,0.1,2,"215,7459740638730","-78,33232912","-78,33198","0,0003491167965"
ca,15,10000,20,2,0.1,4,"65,7529246807098","-156,5956638","-156,66396","0,06829618976"
ca,16,10000,20,2,0.2,4,"64,6612145900726","-156,4203416","-156,66396","0,2436183822"
ca,17,10000,20,2,0.3,4,"65,6130480766296","-156,6124899","-156,66396","0,05147012889"
ca,18,10000,20,2,0.4,4,"65,7924056053161","-156,5354979","-156,66396","0,1284620951"
ca,19,10000,20,2,0.5,4,"64,9456603527069","-156,5425008","-156,66396","0,1214591607"
ca,20,10000,20,1,0.1,4,"67,6672356128692","-156,5071337","-156,66396","0,1568262757"
ca,21,10000,20,2,0.1,4,"66,1617925167083","-156,2322489","-156,66396","0,4317111472"
ca,22,10000,20,3,0.1,4,"64,5062191486358","-156,5395652","-156,66396","0,124394831"
ca,23,10000,20,4,0.1,4,"64,9499452114105","-156,5906237","-156,66396","0,07333629884"
ca,24,10000,20,5,0.1,4,"63,3401677608490","-156,286419","-156,66396","0,3775410473"
ca,25,10000,20,2,0.1,4,"65,4230647087097","-156,5248462","-156,66396","0,1391138412"
ca,26,10000,40,2,0.1,4,"149,5231397151940","-156,4952005","-156,66396","0,1687594767"
ca,27,10000,60,2,0.1,4,"245,8790953159330","-156,6108654","-156,66396","0,05309464203"
ca,28,50000,20,2,0.1,4,"324,0641593933100","-156,600212","-156,66396","0,06374804245"
ca,29,10000,20,2,0.1,6,"87,7939527034759","-233,8553894","-234,99594","1,140550605"
ca,30,10000,20,2,0.2,6,"90,9571123123169","-232,8854635","-234,99594","2,110476517"
ca,31,10000,20,2,0.3,6,"91,2320804595947","-234,0504861","-234,99594","0,9454539193"
ca,32,10000,20,2,0.4,6,"87,6458246707916","-232,7198633","-234,99594","2,276076657"
ca,33,10000,20,2,0.5,6,"88,6834528446197","-233,889093","-234,99594","1,106847001"
ca,34,10000,20,1,0.1,6,"88,3726735115051","-234,0288203","-234,99594","0,9671197253"
ca,35,10000,20,2,0.1,6,"87,9158720970153","-233,9808929","-234,99594","1,015047059"
ca,36,10000,20,3,0.1,6,"88,5814802646637","-233,3191624","-234,99594","1,676777559"
ca,37,10000,20,4,0.1,6,"87,2932953834533","-233,8085174","-234,99594","1,187422603"
ca,38,10000,20,5,0.1,6,"86,8876605033874","-233,8919136","-234,99594","1,10402645"
ca,39,10000,20,2,0.1,6,"88,0291991233825","-233,3118814","-234,99594","1,684058565"
ca,40,10000,40,2,0.1,6,"192,4807484149930","-234,8689509","-234,99594","0,1269890836"
ca,41,10000,60,2,0.1,6,"308,4347288608550","-234,8883762","-234,99594","0,1075637815"
ca,42,50000,20,2,0.1,6,"452,1011011600490","-234,4194066","-234,99594","0,5765333851"
ca,43,10000,20,2,0.1,8,"111,0310056209560","-306,6568613","-313,32792","6,67105872"
ca,44,10000,20,2,0.2,8,"110,7043864727020","-307,7420898","-313,32792","5,585830162"
ca,45,10000,20,2,0.3,8,"111,8837018013000","-309,860996","-313,32792","3,466923961"
ca,46,10000,20,2,0.4,8,"111,8939130306240","-304,6203014","-313,32792","8,707618562"
ca,47,10000,20,2,0.5,8,"112,9731199741360","-307,2488049","-313,32792","6,079115123"
ca,48,10000,20,1,0.1,8,"113,2368226051330","-306,5533423","-313,32792","6,774577668"
ca,49,10000,20,2,0.1,8,"111,1356475353240","-308,9287686","-313,32792","4,399151413"
ca,50,10000,20,3,0.1,8,"111,4497191905970","-306,5782537","-313,32792","6,749666307"
ca,51,10000,20,4,0.1,8,"109,1853327751150","-307,5413589","-313,32792","5,786561066"
ca,52,10000,20,5,0.1,8,"111,4012463092800","-307,7011785","-313,32792","5,626741468"
ca,53,10000,20,2,0.1,8,"112,1066851615900","-304,1827507","-313,32792","9,145169275"
ca,54,10000,40,2,0.1,8,"244,4739832878110","-312,0913476","-313,32792","1,236572427"
ca,55,10000,60,2,0.1,8,"381,7697148323050","-311,4370342","-313,32792","1,890885781"
ca,56,50000,20,2,0.1,8,"566,2690362930290","-309,9036341","-313,32792","3,424285911"
ca,57,10000,20,2,0.1,10,"135,3836302757260","-382,9276517","-391,6599","8,732248276"
ca,58,10000,20,2,0.2,10,"134,7057175636290","-386,4787546","-391,6599","5,181145435"
ca,59,10000,20,2,0.3,10,"132,8384578227990","-383,4111341","-391,6599","8,248765904"
ca,60,10000,20,2,0.4,10,"137,1494450569150","-380,0023422","-391,6599","11,65755776"
ca,61,10000,20,2,0.5,10,"134,6667401790610","-382,5811285","-391,6599","9,078771543"
ca,62,10000,20,1,0.1,10,"134,4883003234860","-379,0902699","-391,6599","12,56963012"
ca,63,10000,20,2,0.1,10,"135,6069359779350","-380,2510632","-391,6599","11,40883681"
ca,64,10000,20,3,0.1,10,"134,9638283252710","-383,173728","-391,6599","8,48617198"
ca,65,10000,20,4,0.1,10,"134,9102735519400","-376,4308395","-391,6599","15,22906053"
ca,66,10000,20,5,0.1,10,"131,9763209819790","-377,1356238","-391,6599","14,52427619"
ca,67,10000,20,2,0.1,10,"135,2082915306090","-378,5010333","-391,6599","13,1588667"
ca,68,10000,40,2,0.1,10,"280,8463635444640","-386,5574832","-391,6599","5,102416782"
ca,69,10000,60,2,0.1,10,"472,5224990844720","-389,6212043","-391,6599","2,038695686"
ca,70,50000,20,2,0.1,10,"675,4195139408110","-386,7485125","-391,6599","4,911387464"
ca,71,10000,20,2,0.1,12,"157,4239318370810","-448,3920514","-469,99188","21,59982856"
ca,72,10000,20,2,0.2,12,"157,8926732540130","-453,623371","-469,99188","16,36850903"
ca,73,10000,20,2,0.3,12,"158,0002601146690","-449,8613054","-469,99188","20,13057458"
ca,74,10000,20,2,0.4,12,"160,6923964023590","-448,5751282","-469,99188","21,41675175"
ca,75,10000,20,2,0.5,12,"158,5651288032530","-448,4690114","-469,99188","21,52286858"
ca,76,10000,20,1,0.1,12,"159,7860512733450","-445,4512162","-469,99188","24,54066376"
ca,77,10000,20,2,0.1,12,"162,3710663318630","-450,5039272","-469,99188","19,48795281"
ca,78,10000,20,3,0.1,12,"162,6373250484460","-449,4231164","-469,99188","20,5687636"
ca,79,10000,20,4,0.1,12,"158,5196475982660","-445,6933307","-469,99188","24,29854926"
ca,80,10000,20,5,0.1,12,"156,1226818561550","-456,6369665","-469,99188","13,35491347"
ca,81,10000,20,2,0.1,12,"159,5905480384820","-453,458203","-469,99188","16,53367702"
ca,82,10000,40,2,0.1,12,"337,4450190067290","-460,5653103","-469,99188","9,426569708"
ca,83,10000,60,2,0.1,12,"537,7551410198210","-464,4548282","-469,99188","5,537051827"
ca,84,50000,20,2,0.1,12,"793,8253588676450","-450,8121788","-469,99188","19,17970122"
